Hic2	Hic2	Gene Expression
Tmem191c	Tmem191c	Gene Expression
Pi4ka	Pi4ka	Gene Expression
Snap29	Snap29	Gene Expression
Crkl	Crkl	Gene Expression
Lztr1	Lztr1	Gene Expression
Thap7	Thap7	Gene Expression
Smpd4	Smpd4	Gene Expression
Med15	Med15	Gene Expression
Klhl22	Klhl22	Gene Expression
Scarf2	Scarf2	Gene Expression
Dgcr2	Dgcr2	Gene Expression
Dgcr14	Dgcr14	Gene Expression
Slc25a1	Slc25a1	Gene Expression
Dgcr6	Dgcr6	Gene Expression
Prodh	Prodh	Gene Expression
Rtn4r	Rtn4r	Gene Expression
Zdhhc8	Zdhhc8	Gene Expression
Ranbp1	Ranbp1	Gene Expression
Trmt2a	Trmt2a	Gene Expression
Dgcr8	Dgcr8	Gene Expression
Tango2	Tango2	Gene Expression
Arvcf	Arvcf	Gene Expression
Comt	Comt	Gene Expression
Txnrd2	Txnrd2	Gene Expression
Gnb1l	Gnb1l	Gene Expression
Sept5	Sept5	Gene Expression
Cldn5	Cldn5	Gene Expression
Cdc45	Cdc45	Gene Expression
Ufd1	Ufd1	Gene Expression
2510002D24Rik	2510002D24Rik	Gene Expression
Mrpl40	Mrpl40	Gene Expression
Hira	Hira	Gene Expression
2010309G21Rik	2010309G21Rik	Gene Expression
Iglc1	Iglc1	Gene Expression
Iglc3	Iglc3	Gene Expression
Iglc2	Iglc2	Gene Expression
Iglv3	Iglv3	Gene Expression
B3gnt5	B3gnt5	Gene Expression
Klhl6	Klhl6	Gene Expression
Klhl24	Klhl24	Gene Expression
Yeats2	Yeats2	Gene Expression
Parl	Parl	Gene Expression
Cyp2ab1	Cyp2ab1	Gene Expression
Abcc5	Abcc5	Gene Expression
Eif2b5	Eif2b5	Gene Expression
Dvl3	Dvl3	Gene Expression
Ap2m1	Ap2m1	Gene Expression
Abcf3	Abcf3	Gene Expression
Vwa5b2	Vwa5b2	Gene Expression
Alg3	Alg3	Gene Expression
Eef1akmt4	Eef1akmt4	Gene Expression
Camk2n2	Camk2n2	Gene Expression
Psmd2	Psmd2	Gene Expression
Eif4g1	Eif4g1	Gene Expression
Fam131a	Fam131a	Gene Expression
Clcn2	Clcn2	Gene Expression
Polr2h	Polr2h	Gene Expression
Ephb3	Ephb3	Gene Expression
Vps8	Vps8	Gene Expression
2510009E07Rik	2510009E07Rik	Gene Expression
Ehhadh	Ehhadh	Gene Expression
1300002E11Rik	1300002E11Rik	Gene Expression
Tmem41a	Tmem41a	Gene Expression
Senp2	Senp2	Gene Expression
Igf2bp2	Igf2bp2	Gene Expression
Tra2b	Tra2b	Gene Expression
Etv5	Etv5	Gene Expression
Dgkg	Dgkg	Gene Expression
Tbccd1	Tbccd1	Gene Expression
Dnajb11	Dnajb11	Gene Expression
Eif4a2	Eif4a2	Gene Expression
Rfc4	Rfc4	Gene Expression
B630019A10Rik	B630019A10Rik	Gene Expression
St6gal1	St6gal1	Gene Expression
Rtp4	Rtp4	Gene Expression
Rtp2	Rtp2	Gene Expression
Bcl6	Bcl6	Gene Expression
AC169509.3	AC169509.3	Gene Expression
Lppos	Lppos	Gene Expression
Lpp	Lpp	Gene Expression
A230028O05Rik	A230028O05Rik	Gene Expression
P3h2	P3h2	Gene Expression
Cldn1	Cldn1	Gene Expression
Il1rap	Il1rap	Gene Expression
Ccdc50	Ccdc50	Gene Expression
Mb21d2	Mb21d2	Gene Expression
Opa1	Opa1	Gene Expression
Gm26569	Gm26569	Gene Expression
Hes1	Hes1	Gene Expression
Gm26562	Gm26562	Gene Expression
Gp5	Gp5	Gene Expression
Atp13a3	Atp13a3	Gene Expression
Tmem44	Tmem44	Gene Expression
Lsg1	Lsg1	Gene Expression
Fam43a	Fam43a	Gene Expression
AC163720.3	AC163720.3	Gene Expression
AC126280.1	AC126280.1	Gene Expression
Xxylt1	Xxylt1	Gene Expression
Acap2	Acap2	Gene Expression
AC130815.3	AC130815.3	Gene Expression
Ppp1r2	Ppp1r2	Gene Expression
AC130815.2	AC130815.2	Gene Expression
Apod	Apod	Gene Expression
Bdh1	Bdh1	Gene Expression
AC126055.1	AC126055.1	Gene Expression
Dlg1	Dlg1	Gene Expression
Pigz	Pigz	Gene Expression
0610012G03Rik	0610012G03Rik	Gene Expression
Ncbp2	Ncbp2	Gene Expression
Senp5	Senp5	Gene Expression
Pak2	Pak2	Gene Expression
Pigx	Pigx	Gene Expression
Cep19	Cep19	Gene Expression
Gm15729	Gm15729	Gene Expression
Nrros	Nrros	Gene Expression
Bex6	Bex6	Gene Expression
Fbxo45	Fbxo45	Gene Expression
Wdr53	Wdr53	Gene Expression
Rnf168	Rnf168	Gene Expression
Ubxn7	Ubxn7	Gene Expression
Tm4sf19	Tm4sf19	Gene Expression
Tctex1d2	Tctex1d2	Gene Expression
Pcyt1a	Pcyt1a	Gene Expression
Slc51a	Slc51a	Gene Expression
Zdhhc19	Zdhhc19	Gene Expression
AC140186.1	AC140186.1	Gene Expression
Tfrc	Tfrc	Gene Expression
Tnk2	Tnk2	Gene Expression
Rubcn	Rubcn	Gene Expression
Fyttd1	Fyttd1	Gene Expression
Lrch3	Lrch3	Gene Expression
Iqcg	Iqcg	Gene Expression
Rpl35a	Rpl35a	Gene Expression
Lmln	Lmln	Gene Expression
Osbpl11	Osbpl11	Gene Expression
Snx4	Snx4	Gene Expression
Zfp148	Zfp148	Gene Expression
Heg1	Heg1	Gene Expression
Muc13	Muc13	Gene Expression
Itgb5	Itgb5	Gene Expression
Umps	Umps	Gene Expression
Gm15829	Gm15829	Gene Expression
Kalrn	Kalrn	Gene Expression
Ccdc14	Ccdc14	Gene Expression
Mylk	Mylk	Gene Expression
Hacd2	Hacd2	Gene Expression
Sec22a	Sec22a	Gene Expression
Pdia5	Pdia5	Gene Expression
Dirc2	Dirc2	Gene Expression
Hspbap1	Hspbap1	Gene Expression
Gm26838	Gm26838	Gene Expression
Parp14	Parp14	Gene Expression
Dtx3l	Dtx3l	Gene Expression
Parp9	Parp9	Gene Expression
Gm15564	Gm15564	Gene Expression
Kpna1	Kpna1	Gene Expression
Wdr5b	Wdr5b	Gene Expression
Fam162a	Fam162a	Gene Expression
Ccdc58	Ccdc58	Gene Expression
Stfa2l1	Stfa2l1	Gene Expression
Gm5483	Gm5483	Gene Expression
Gm5416	Gm5416	Gene Expression
2010005H15Rik	2010005H15Rik	Gene Expression
Stfa1	Stfa1	Gene Expression
BC100530	BC100530	Gene Expression
Stfa2	Stfa2	Gene Expression
Stfa3	Stfa3	Gene Expression
Casr	Casr	Gene Expression
AC117662.4	AC117662.4	Gene Expression
Cd86	Cd86	Gene Expression
Ildr1	Ildr1	Gene Expression
Slc15a2	Slc15a2	Gene Expression
Eaf2	Eaf2	Gene Expression
Iqcb1	Iqcb1	Gene Expression
Golgb1	Golgb1	Gene Expression
4930565N06Rik	4930565N06Rik	Gene Expression
Hcls1	Hcls1	Gene Expression
Fbxo40	Fbxo40	Gene Expression
Polq	Polq	Gene Expression
Gtf2e1	Gtf2e1	Gene Expression
Rabl3	Rabl3	Gene Expression
Ndufb4	Ndufb4	Gene Expression
Fstl1	Fstl1	Gene Expression
Lrrc58	Lrrc58	Gene Expression
Gsk3b	Gsk3b	Gene Expression
Cox17	Cox17	Gene Expression
Popdc2	Popdc2	Gene Expression
Pla1a	Pla1a	Gene Expression
Adprh	Adprh	Gene Expression
D930030I03Rik	D930030I03Rik	Gene Expression
Cd80	Cd80	Gene Expression
Timmdc1	Timmdc1	Gene Expression
Poglut1	Poglut1	Gene Expression
Tmem39a	Tmem39a	Gene Expression
Gm17103	Gm17103	Gene Expression
Arhgap31	Arhgap31	Gene Expression
B4galt4	B4galt4	Gene Expression
Igsf11	Igsf11	Gene Expression
Zbtb20	Zbtb20	Gene Expression
Tigit	Tigit	Gene Expression
Qtrt2	Qtrt2	Gene Expression
Ccdc191	Ccdc191	Gene Expression
Zdhhc23	Zdhhc23	Gene Expression
Gramd1c	Gramd1c	Gene Expression
Atp6v1a	Atp6v1a	Gene Expression
Naa50	Naa50	Gene Expression
Usf3	Usf3	Gene Expression
Sidt1	Sidt1	Gene Expression
Spice1	Spice1	Gene Expression
Boc	Boc	Gene Expression
Nepro	Nepro	Gene Expression
Gtpbp8	Gtpbp8	Gene Expression
Cd200r1	Cd200r1	Gene Expression
Cd200r4	Cd200r4	Gene Expression
Cd200r3	Cd200r3	Gene Expression
Ccdc80	Ccdc80	Gene Expression
Slc35a5	Slc35a5	Gene Expression
Atg3	Atg3	Gene Expression
Btla	Btla	Gene Expression
Cd200	Cd200	Gene Expression
Gcsam	Gcsam	Gene Expression
Tagln3	Tagln3	Gene Expression
Abhd10	Abhd10	Gene Expression
Phldb2	Phldb2	Gene Expression
Plcxd2	Plcxd2	Gene Expression
Cd96	Cd96	Gene Expression
Gm4737	Gm4737	Gene Expression
Nectin3	Nectin3	Gene Expression
Dppa2	Dppa2	Gene Expression
Trat1	Trat1	Gene Expression
Retnla	Retnla	Gene Expression
Retnlg	Retnlg	Gene Expression
Dzip3	Dzip3	Gene Expression
C330027C09Rik	C330027C09Rik	Gene Expression
Ift57	Ift57	Gene Expression
Cd47	Cd47	Gene Expression
Bbx	Bbx	Gene Expression
Dubr	Dubr	Gene Expression
Cblb	Cblb	Gene Expression
Alcam	Alcam	Gene Expression
Nfkbiz	Nfkbiz	Gene Expression
Nxpe3	Nxpe3	Gene Expression
Cep97	Cep97	Gene Expression
Rpl24	Rpl24	Gene Expression
Zbtb11os1	Zbtb11os1	Gene Expression
Zbtb11	Zbtb11	Gene Expression
Pcnp	Pcnp	Gene Expression
Trmt10c	Trmt10c	Gene Expression
Senp7	Senp7	Gene Expression
Impg2	Impg2	Gene Expression
Abi3bp	Abi3bp	Gene Expression
Tfg	Tfg	Gene Expression
Tmem45a	Tmem45a	Gene Expression
Tomm70a	Tomm70a	Gene Expression
Nit2	Nit2	Gene Expression
Tbc1d23	Tbc1d23	Gene Expression
Cmss1	Cmss1	Gene Expression
Filip1l	Filip1l	Gene Expression
Col8a1	Col8a1	Gene Expression
Dcbld2	Dcbld2	Gene Expression
St3gal6	St3gal6	Gene Expression
AC159200.1	AC159200.1	Gene Expression
Cpox	Cpox	Gene Expression
Gpr15	Gpr15	Gene Expression
Cldnd1	Cldnd1	Gene Expression
Olfr204	Olfr204	Gene Expression
Riox2	Riox2	Gene Expression
Crybg3	Crybg3	Gene Expression
Arl6	Arl6	Gene Expression
Nsun3	Nsun3	Gene Expression
Arl13b	Arl13b	Gene Expression
Pros1	Pros1	Gene Expression
4930453N24Rik	4930453N24Rik	Gene Expression
Zfp654	Zfp654	Gene Expression
Cggbp1	Cggbp1	Gene Expression
Chmp2b	Chmp2b	Gene Expression
Vgll3	Vgll3	Gene Expression
Gbe1	Gbe1	Gene Expression
Rbm11	Rbm11	Gene Expression
Hspa13	Hspa13	Gene Expression
Samsn1	Samsn1	Gene Expression
Nrip1	Nrip1	Gene Expression
Usp25	Usp25	Gene Expression
Cxadr	Cxadr	Gene Expression
Btg3	Btg3	Gene Expression
D16Ertd472e	D16Ertd472e	Gene Expression
Chodl	Chodl	Gene Expression
Mir155hg	Mir155hg	Gene Expression
Mrpl39	Mrpl39	Gene Expression
Jam2	Jam2	Gene Expression
Atp5j	Atp5j	Gene Expression
Gabpa	Gabpa	Gene Expression
App	App	Gene Expression
Gm49226	Gm49226	Gene Expression
Cyyr1	Cyyr1	Gene Expression
Adamts1	Adamts1	Gene Expression
Adamts5	Adamts5	Gene Expression
N6amt1	N6amt1	Gene Expression
Ltn1	Ltn1	Gene Expression
Rwdd2b	Rwdd2b	Gene Expression
Usp16	Usp16	Gene Expression
Cct8	Cct8	Gene Expression
Bach1	Bach1	Gene Expression
2810407A14Rik	2810407A14Rik	Gene Expression
Tiam1	Tiam1	Gene Expression
Sod1	Sod1	Gene Expression
Scaf4	Scaf4	Gene Expression
Mis18a	Mis18a	Gene Expression
Urb1	Urb1	Gene Expression
Eva1c	Eva1c	Gene Expression
1110004E09Rik	1110004E09Rik	Gene Expression
Synj1	Synj1	Gene Expression
Gm15965	Gm15965	Gene Expression
Paxbp1	Paxbp1	Gene Expression
4932438H23Rik	4932438H23Rik	Gene Expression
Gm15966	Gm15966	Gene Expression
Ifnar2	Ifnar2	Gene Expression
Il10rb	Il10rb	Gene Expression
AC150035.3	AC150035.3	Gene Expression
Ifnar1	Ifnar1	Gene Expression
Ifngr2	Ifngr2	Gene Expression
Tmem50b	Tmem50b	Gene Expression
Gm15964	Gm15964	Gene Expression
Dnajc28	Dnajc28	Gene Expression
Gart	Gart	Gene Expression
Son	Son	Gene Expression
Donson	Donson	Gene Expression
Gm10785	Gm10785	Gene Expression
Cryzl1	Cryzl1	Gene Expression
Itsn1	Itsn1	Gene Expression
Atp5o.1	Atp5o.1	Gene Expression
Mrps6	Mrps6	Gene Expression
Slc5a3	Slc5a3	Gene Expression
Smim11	Smim11	Gene Expression
Rcan1	Rcan1	Gene Expression
Runx1	Runx1	Gene Expression
Gm26626	Gm26626	Gene Expression
Setd4	Setd4	Gene Expression
Cbr1	Cbr1	Gene Expression
Cbr3	Cbr3	Gene Expression
Dopey2	Dopey2	Gene Expression
AC168220.3	AC168220.3	Gene Expression
Morc3	Morc3	Gene Expression
Chaf1b	Chaf1b	Gene Expression
Hlcs	Hlcs	Gene Expression
Ripply3	Ripply3	Gene Expression
Pigp	Pigp	Gene Expression
Ttc3	Ttc3	Gene Expression
Dscr3	Dscr3	Gene Expression
Dyrk1a	Dyrk1a	Gene Expression
Erg	Erg	Gene Expression
Ets2	Ets2	Gene Expression
2810404F17Rik	2810404F17Rik	Gene Expression
Gm15340	Gm15340	Gene Expression
Psmg1	Psmg1	Gene Expression
Brwd1	Brwd1	Gene Expression
Hmgn1	Hmgn1	Gene Expression
Wrb	Wrb	Gene Expression
Lca5l	Lca5l	Gene Expression
Sh3bgr	Sh3bgr	Gene Expression
Itgb2l	Itgb2l	Gene Expression
Bace2	Bace2	Gene Expression
Mx1	Mx1	Gene Expression
Prdm15	Prdm15	Gene Expression
C2cd2	C2cd2	Gene Expression
Zbtb21	Zbtb21	Gene Expression
C030010L15Rik	C030010L15Rik	Gene Expression
B230307C23Rik	B230307C23Rik	Gene Expression
A630089N07Rik	A630089N07Rik	Gene Expression
Scaf8	Scaf8	Gene Expression
AC165953.2	AC165953.2	Gene Expression
Tiam2	Tiam2	Gene Expression
Tfb1m	Tfb1m	Gene Expression
Arid1b	Arid1b	Gene Expression
Tmem242	Tmem242	Gene Expression
Zdhhc14	Zdhhc14	Gene Expression
3300005D01Rik	3300005D01Rik	Gene Expression
Snx9	Snx9	Gene Expression
Synj2	Synj2	Gene Expression
Serac1	Serac1	Gene Expression
Gtf2h5	Gtf2h5	Gene Expression
Tulp4	Tulp4	Gene Expression
Tmem181a	Tmem181a	Gene Expression
Dynlt1a	Dynlt1a	Gene Expression
Dynlt1b	Dynlt1b	Gene Expression
Dynlt1c	Dynlt1c	Gene Expression
Dynlt1f	Dynlt1f	Gene Expression
Sytl3	Sytl3	Gene Expression
Ezr	Ezr	Gene Expression
Rsph3b	Rsph3b	Gene Expression
AC122413.1	AC122413.1	Gene Expression
Tagap1	Tagap1	Gene Expression
Rnaset2b	Rnaset2b	Gene Expression
Gm1604a	Gm1604a	Gene Expression
Rps6ka2	Rps6ka2	Gene Expression
Ttll2	Ttll2	Gene Expression
Gm9992	Gm9992	Gene Expression
Fndc1	Fndc1	Gene Expression
E430024P14Rik	E430024P14Rik	Gene Expression
Tagap	Tagap	Gene Expression
Rsph3a	Rsph3a	Gene Expression
Rnaset2a	Rnaset2a	Gene Expression
Fgfr1op	Fgfr1op	Gene Expression
Ccr6	Ccr6	Gene Expression
Mpc1	Mpc1	Gene Expression
Sft2d1	Sft2d1	Gene Expression
Prr18	Prr18	Gene Expression
Pde10a	Pde10a	Gene Expression
Gm17087	Gm17087	Gene Expression
Qk	Qk	Gene Expression
Pacrg	Pacrg	Gene Expression
Park2	Park2	Gene Expression
Agpat4	Agpat4	Gene Expression
Map3k4	Map3k4	Gene Expression
4732491K20Rik	4732491K20Rik	Gene Expression
Igf2r	Igf2r	Gene Expression
Airn	Airn	Gene Expression
Mrpl18	Mrpl18	Gene Expression
Tcp1	Tcp1	Gene Expression
Acat2	Acat2	Gene Expression
Wtap	Wtap	Gene Expression
Sod2	Sod2	Gene Expression
Unc93a	Unc93a	Gene Expression
Tcte2	Tcte2	Gene Expression
Afdn	Afdn	Gene Expression
Smoc2	Smoc2	Gene Expression
Thbs2	Thbs2	Gene Expression
Wdr27	Wdr27	Gene Expression
1600012H06Rik	1600012H06Rik	Gene Expression
Phf10	Phf10	Gene Expression
9030025P20Rik	9030025P20Rik	Gene Expression
Gm3448	Gm3448	Gene Expression
Gm3435	Gm3435	Gene Expression
Ermard	Ermard	Gene Expression
AC154507.3	AC154507.3	Gene Expression
Dll1	Dll1	Gene Expression
Fam120b	Fam120b	Gene Expression
AC154378.1	AC154378.1	Gene Expression
Psmb1	Psmb1	Gene Expression
Tbp	Tbp	Gene Expression
Pdcd2	Pdcd2	Gene Expression
Prdm9	Prdm9	Gene Expression
Chd1	Chd1	Gene Expression
Rgmb	Rgmb	Gene Expression
BC002059	BC002059	Gene Expression
Zfp960	Zfp960	Gene Expression
Zfp97	Zfp97	Gene Expression
AC129328.1	AC129328.1	Gene Expression
Gm6712	Gm6712	Gene Expression
Riok2	Riok2	Gene Expression
Lix1	Lix1	Gene Expression
Lnpep	Lnpep	Gene Expression
Spaca6	Spaca6	Gene Expression
Has1	Has1	Gene Expression
Fpr1	Fpr1	Gene Expression
Fpr2	Fpr2	Gene Expression
Vmn2r124	Vmn2r124	Gene Expression
Vmn2r95	Vmn2r95	Gene Expression
Vmn2r96	Vmn2r96	Gene Expression
Ppp2r1a	Ppp2r1a	Gene Expression
Zfp160	Zfp160	Gene Expression
Zfp677	Zfp677	Gene Expression
Zfp54	Zfp54	Gene Expression
Zfp51	Zfp51	Gene Expression
Zfp53	Zfp53	Gene Expression
Zfp52	Zfp52	Gene Expression
Zfp948	Zfp948	Gene Expression
Zfp983	Zfp983	Gene Expression
Zfp760	Zfp760	Gene Expression
Zfp229	Zfp229	Gene Expression
Zfp820	Zfp820	Gene Expression
Zfp995	Zfp995	Gene Expression
Zfp942	Zfp942	Gene Expression
Zfp943	Zfp943	Gene Expression
Zfp947	Zfp947	Gene Expression
Zfp994	Zfp994	Gene Expression
Zfp944	Zfp944	Gene Expression
Zfp758	Zfp758	Gene Expression
Zfp946	Zfp946	Gene Expression
Gm16386	Gm16386	Gene Expression
Zfp945	Zfp945	Gene Expression
Zfp40	Zfp40	Gene Expression
Zfp213	Zfp213	Gene Expression
Zfp13	Zfp13	Gene Expression
Mmp25	Mmp25	Gene Expression
Thoc6	Thoc6	Gene Expression
Hcfc1r1	Hcfc1r1	Gene Expression
Tnfrsf12a	Tnfrsf12a	Gene Expression
Pkmyt1	Pkmyt1	Gene Expression
Paqr4	Paqr4	Gene Expression
Kremen2	Kremen2	Gene Expression
9530082P21Rik	9530082P21Rik	Gene Expression
Flywch1	Flywch1	Gene Expression
Flywch2	Flywch2	Gene Expression
D930048G16Rik	D930048G16Rik	Gene Expression
Srrm2	Srrm2	Gene Expression
Elob	Elob	Gene Expression
Prss30	Prss30	Gene Expression
Prss22	Prss22	Gene Expression
Kctd5	Kctd5	Gene Expression
Pdpk1	Pdpk1	Gene Expression
Amdhd2	Amdhd2	Gene Expression
Gm43796	Gm43796	Gene Expression
Atp6v0c	Atp6v0c	Gene Expression
Tbc1d24	Tbc1d24	Gene Expression
Tedc2	Tedc2	Gene Expression
Ccnf	Ccnf	Gene Expression
Abca17	Abca17	Gene Expression
Abca3	Abca3	Gene Expression
Rnps1	Rnps1	Gene Expression
Eci1	Eci1	Gene Expression
Dnase1l2	Dnase1l2	Gene Expression
E4f1	E4f1	Gene Expression
Pgp	Pgp	Gene Expression
Mlst8	Mlst8	Gene Expression
Traf7	Traf7	Gene Expression
Rab26	Rab26	Gene Expression
Rab26os	Rab26os	Gene Expression
Pkd1	Pkd1	Gene Expression
Tsc2	Tsc2	Gene Expression
Nthl1	Nthl1	Gene Expression
Slc9a3r2	Slc9a3r2	Gene Expression
Zfp598	Zfp598	Gene Expression
Syngr3	Syngr3	Gene Expression
Gfer	Gfer	Gene Expression
Noxo1	Noxo1	Gene Expression
Tbl3	Tbl3	Gene Expression
Rps2	Rps2	Gene Expression
Snhg9	Snhg9	Gene Expression
Ndufb10	Ndufb10	Gene Expression
Rpl3l	Rpl3l	Gene Expression
Msrb1	Msrb1	Gene Expression
Hs3st6	Hs3st6	Gene Expression
Hagh	Hagh	Gene Expression
Fahd1	Fahd1	Gene Expression
Nubp2	Nubp2	Gene Expression
Spsb3	Spsb3	Gene Expression
Eme2	Eme2	Gene Expression
Mapk8ip3	Mapk8ip3	Gene Expression
Mrps34	Mrps34	Gene Expression
Nme3	Nme3	Gene Expression
Jpt2	Jpt2	Gene Expression
Cramp1l	Cramp1l	Gene Expression
Ift140	Ift140	Gene Expression
Tmem204	Tmem204	Gene Expression
Telo2	Telo2	Gene Expression
Clcn7	Clcn7	Gene Expression
BC003965	BC003965	Gene Expression
Unkl	Unkl	Gene Expression
Gnptg	Gnptg	Gene Expression
Tsr3	Tsr3	Gene Expression
Baiap3	Baiap3	Gene Expression
Ube2i	Ube2i	Gene Expression
Tpsb2	Tpsb2	Gene Expression
Cacna1h	Cacna1h	Gene Expression
Sox8	Sox8	Gene Expression
Lmf1	Lmf1	Gene Expression
Chtf18	Chtf18	Gene Expression
Rpusd1	Rpusd1	Gene Expression
Narfl	Narfl	Gene Expression
Haghl	Haghl	Gene Expression
Ccdc78	Ccdc78	Gene Expression
Fam173a	Fam173a	Gene Expression
Metrn	Metrn	Gene Expression
Wdr24	Wdr24	Gene Expression
Jmjd8	Jmjd8	Gene Expression
Stub1	Stub1	Gene Expression
Rhot2	Rhot2	Gene Expression
Wdr90	Wdr90	Gene Expression
Mcrip2	Mcrip2	Gene Expression
Mettl26	Mettl26	Gene Expression
Wfikkn1	Wfikkn1	Gene Expression
Rab40c	Rab40c	Gene Expression
Pigq	Pigq	Gene Expression
Capn15	Capn15	Gene Expression
1700022N22Rik	1700022N22Rik	Gene Expression
Rab11fip3	Rab11fip3	Gene Expression
Decr2	Decr2	Gene Expression
Nme4	Nme4	Gene Expression
Gm8186	Gm8186	Gene Expression
Tmem8	Tmem8	Gene Expression
Mrpl28	Mrpl28	Gene Expression
Axin1	Axin1	Gene Expression
Arhgdig	Arhgdig	Gene Expression
Rgs11	Rgs11	Gene Expression
Fam234a	Fam234a	Gene Expression
Luc7l	Luc7l	Gene Expression
Neurl1b	Neurl1b	Gene Expression
Dusp1	Dusp1	Gene Expression
Gm8225	Gm8225	Gene Expression
Ergic1	Ergic1	Gene Expression
Atp6v0e	Atp6v0e	Gene Expression
Crebrf	Crebrf	Gene Expression
Bnip1	Bnip1	Gene Expression
Kifc5b	Kifc5b	Gene Expression
Phf1	Phf1	Gene Expression
Cuta	Cuta	Gene Expression
Ggnbp1	Ggnbp1	Gene Expression
Bak1	Bak1	Gene Expression
Itpr3	Itpr3	Gene Expression
Uqcc2	Uqcc2	Gene Expression
Ip6k3	Ip6k3	Gene Expression
Lemd2	Lemd2	Gene Expression
Gm26724	Gm26724	Gene Expression
AC127341.3	AC127341.3	Gene Expression
Hmga1	Hmga1	Gene Expression
AI413582	AI413582	Gene Expression
AC127341.5	AC127341.5	Gene Expression
Nudt3	Nudt3	Gene Expression
Rps10	Rps10	Gene Expression
Gm15420	Gm15420	Gene Expression
Pacsin1	Pacsin1	Gene Expression
D17Wsu92e	D17Wsu92e	Gene Expression
Snrpc	Snrpc	Gene Expression
Uhrf1bp1	Uhrf1bp1	Gene Expression
Taf11	Taf11	Gene Expression
Anks1	Anks1	Gene Expression
Zfp523	Zfp523	Gene Expression
Def6	Def6	Gene Expression
Ppard	Ppard	Gene Expression
Fance	Fance	Gene Expression
Rpl10a	Rpl10a	Gene Expression
Tead3	Tead3	Gene Expression
Fkbp5	Fkbp5	Gene Expression
Gm20109	Gm20109	Gene Expression
E230001N04Rik	E230001N04Rik	Gene Expression
Srpk1	Srpk1	Gene Expression
Mapk14	Mapk14	Gene Expression
Mapk13	Mapk13	Gene Expression
Brpf3	Brpf3	Gene Expression
Pnpla1	Pnpla1	Gene Expression
4930539E08Rik	4930539E08Rik	Gene Expression
Kctd20	Kctd20	Gene Expression
Stk38	Stk38	Gene Expression
Srsf3	Srsf3	Gene Expression
Trp53cor1	Trp53cor1	Gene Expression
Cdkn1a	Cdkn1a	Gene Expression
Gm16194	Gm16194	Gene Expression
Rab44	Rab44	Gene Expression
Cpne5	Cpne5	Gene Expression
Ppil1	Ppil1	Gene Expression
BC004004	BC004004	Gene Expression
Pi16	Pi16	Gene Expression
Mtch1	Mtch1	Gene Expression
Fgd2	Fgd2	Gene Expression
Gm26885	Gm26885	Gene Expression
Pim1	Pim1	Gene Expression
Tbc1d22b	Tbc1d22b	Gene Expression
Rnf8	Rnf8	Gene Expression
Gm28043	Gm28043	Gene Expression
Cmtr1	Cmtr1	Gene Expression
Ccdc167	Ccdc167	Gene Expression
Mdga1	Mdga1	Gene Expression
Zfand3	Zfand3	Gene Expression
Btbd9	Btbd9	Gene Expression
Glo1	Glo1	Gene Expression
Abcg1	Abcg1	Gene Expression
Ubash3a	Ubash3a	Gene Expression
Rsph1	Rsph1	Gene Expression
Slc37a1	Slc37a1	Gene Expression
Pde9a	Pde9a	Gene Expression
Wdr4	Wdr4	Gene Expression
Ndufv3	Ndufv3	Gene Expression
4833413E03Rik	4833413E03Rik	Gene Expression
Pknox1	Pknox1	Gene Expression
U2af1	U2af1	Gene Expression
Sik1	Sik1	Gene Expression
Hsf2bp	Hsf2bp	Gene Expression
Rrp1b	Rrp1b	Gene Expression
Notch3	Notch3	Gene Expression
Ephx3	Ephx3	Gene Expression
Brd4	Brd4	Gene Expression
Akap8	Akap8	Gene Expression
Akap8l	Akap8l	Gene Expression
Wiz	Wiz	Gene Expression
Rasal3	Rasal3	Gene Expression
Pglyrp2	Pglyrp2	Gene Expression
Cyp4f16	Cyp4f16	Gene Expression
Zfp871	Zfp871	Gene Expression
Zfp799	Zfp799	Gene Expression
Zfp870	Zfp870	Gene Expression
Cyp4f13	Cyp4f13	Gene Expression
Zfp472	Zfp472	Gene Expression
Zfp952	Zfp952	Gene Expression
Zfp563	Zfp563	Gene Expression
Zfp955a	Zfp955a	Gene Expression
Zfp955b	Zfp955b	Gene Expression
Zfp81	Zfp81	Gene Expression
Zfp101	Zfp101	Gene Expression
Adamts10	Adamts10	Gene Expression
Myo1f	Myo1f	Gene Expression
Zfp414	Zfp414	Gene Expression
Pram1	Pram1	Gene Expression
Hnrnpm	Hnrnpm	Gene Expression
March2	March2	Gene Expression
Rab11b	Rab11b	Gene Expression
Angptl4	Angptl4	Gene Expression
Kank3	Kank3	Gene Expression
Rps28	Rps28	Gene Expression
Ndufa7	Ndufa7	Gene Expression
Cd320	Cd320	Gene Expression
Kifc1	Kifc1	Gene Expression
Platr17	Platr17	Gene Expression
BC051226	BC051226	Gene Expression
Daxx	Daxx	Gene Expression
Tapbp	Tapbp	Gene Expression
Zbtb22	Zbtb22	Gene Expression
Gm19412	Gm19412	Gene Expression
Rgl2	Rgl2	Gene Expression
Pfdn6	Pfdn6	Gene Expression
Wdr46	Wdr46	Gene Expression
B3galt4	B3galt4	Gene Expression
Rps18	Rps18	Gene Expression
Vps52	Vps52	Gene Expression
H2-K1	H2-K1	Gene Expression
Ring1	Ring1	Gene Expression
H2-Ke6	H2-Ke6	Gene Expression
Slc39a7	Slc39a7	Gene Expression
Rxrb	Rxrb	Gene Expression
